"","Males","Females"
"0","576","433"
"1-4","106","77"
"5-9","72","46"
"10-14","77","69"
"15-19","342","140"
"20-24","604","230"
"25-29","702","283"
"30-34","795","353"
"35-39","1018","523"
"40-44","1309","753"
"45-49","2057","1170"
"50-54","2561","1543"
"55-59","3921","2412"
"60-64","5452","3290"
"65-69","6954","4350"
"70-74","9437","6335"
"75-79","11015","7940"
"80-84","13151","11055"
"85-89","13946","14927"
"90-94","10372","15606"
"95-99","3514","7887"
"100+","364","1533"

"a. Excludes deaths for which age was not stated"

"Source: Australian Bureau of Statistics,  Deaths, Australia 2019"